Datetime,Branch,Gender,Age,NPS,CSI,Loyalty,CES,Registration,Doctor Consultation,Nurse Service,Pharmacy Service,Laboratory,Emergency Response,Billing Process,Facility Cleanliness,Staff Friendliness,Waiting Time,Improvement_Feedback
01/03/2025 17.22,Always Healthy Hospital Semarang,Male,48,5,4,5,4,4,4,4,5,5,5,4,3,4,4,service good
05/03/2025 15.57,Always Healthy Hospital Surabaya,Female,60,3,4,4,4,3,4,4,5,3,4,3,4,3,3,service good
04/03/2025 13.23,Always Healthy Hospital Makassar,Male,63,10,4,4,4,4,4,4,5,5,5,4,5,5,4,service good
31/03/2025 02.42,Always Healthy Hospital Yogyakarta,Female,57,10,4,4,4,4,4,4,4,4,4,3,5,4,3,service good
20/03/2025 17.00,Always Healthy Hospital Padang,Male,50,8,4,5,4,4,4,3,4,4,4,4,3,4,4,service good
11/03/2025 11.12,Always Healthy Hospital Bandung,Female,57,3,4,5,4,4,4,3,4,4,4,3,4,4,4,service good
12/03/2025 05.30,Always Healthy Hospital Surabaya,Male,31,10,4,4,4,5,5,4,3,3,4,3,5,4,4,service good
07/03/2025 09.37,Always Healthy Hospital Surabaya,Female,59,1,3,3,3,3,3,2,3,2,2,3,3,2,3,"improve Nurse Service, Laboratory, Emergency Response, Staff Friendliness"
23/03/2025 08.23,Always Healthy Hospital Malang,Male,62,9,3,3,4,3,3,3,3,3,3,3,3,3,3,service good
27/03/2025 10.37,Always Healthy Hospital Banjarmasin,Female,65,8,4,4,3,4,3,4,4,3,4,3,4,3,3,service good
31/03/2025 15.07,Always Healthy Hospital Pekanbaru,Male,43,9,4,4,4,4,4,5,4,5,5,4,4,5,4,service good
06/03/2025 14.19,Always Healthy Hospital Bekasi,Female,65,7,4,5,4,4,5,4,4,4,4,3,4,4,4,service good
16/03/2025 23.05,Always Healthy Hospital Batam,Male,26,10,5,5,5,5,4,5,4,3,5,4,5,3,4,service good
09/03/2025 19.40,Always Healthy Hospital Balikpapan,Female,33,10,3,3,3,4,3,3,5,3,4,3,4,4,4,service good
06/03/2025 21.02,Always Healthy Hospital Denpasar,Male,28,9,4,5,5,4,5,3,4,5,4,4,5,4,4,service good
17/03/2025 22.44,Always Healthy Hospital Bekasi,Female,25,9,4,4,4,4,4,4,4,3,4,4,4,4,3,service good
28/03/2025 07.59,Always Healthy Hospital Bogor,Male,45,10,4,4,3,4,3,4,4,4,3,3,3,4,4,service good
01/03/2025 01.23,Always Healthy Hospital Malang,Female,39,9,4,4,4,4,4,3,4,5,4,3,4,4,3,service good
20/03/2025 04.57,Always Healthy Hospital Makassar,Male,47,3,3,2,3,3,3,3,3,3,3,3,3,4,3,service good
25/03/2025 02.21,Always Healthy Hospital Balikpapan,Female,40,8,4,5,4,3,3,4,5,3,4,4,3,5,3,service good
16/03/2025 00.36,Always Healthy Hospital Padang,Male,40,8,4,4,4,4,5,4,3,4,3,3,4,4,3,service good
17/03/2025 20.56,Always Healthy Hospital Surabaya,Female,47,3,4,4,4,4,4,4,4,4,4,4,5,3,5,service good
17/03/2025 01.12,Always Healthy Hospital Pekanbaru,Male,65,2,3,4,4,5,4,4,3,4,4,3,4,4,3,service good
16/03/2025 06.41,Always Healthy Hospital Bandung,Female,22,8,3,4,4,3,4,3,3,4,3,3,4,3,3,service good
14/03/2025 05.22,Always Healthy Hospital Denpasar,Male,51,10,3,4,4,3,3,3,4,4,4,3,4,4,3,service good
22/03/2025 10.14,Always Healthy Hospital Bekasi,Female,48,8,4,4,4,4,4,4,4,4,4,4,4,4,4,service good
18/03/2025 09.12,Always Healthy Hospital Surabaya,Male,28,4,4,3,4,4,4,3,4,4,3,4,4,4,3,service good
16/03/2025 14.06,Always Healthy Hospital Makassar,Female,57,7,4,4,4,4,4,3,3,4,4,4,4,4,4,service good
23/03/2025 14.52,Always Healthy Hospital Yogyakarta,Male,24,4,3,4,3,2,3,4,3,3,2,3,2,2,3,"improve Registration, Emergency Response, Facility Cleanliness, Staff Friendliness"
08/03/2025 20.10,Always Healthy Hospital Jakarta,Female,32,9,5,5,4,5,4,4,5,5,5,5,5,5,4,service good
21/03/2025 16.59,Always Healthy Hospital Depok,Male,31,7,3,3,5,4,4,4,3,4,4,4,4,3,3,service good
16/03/2025 05.51,Always Healthy Hospital Balikpapan,Female,36,6,4,4,4,4,4,4,5,3,3,4,4,4,4,service good
28/03/2025 03.58,Always Healthy Hospital Batam,Male,39,4,4,4,4,5,4,4,4,4,4,3,3,4,4,service good
14/03/2025 16.11,Always Healthy Hospital Bekasi,Female,42,8,4,3,4,4,3,4,3,3,4,3,3,5,4,service good
17/03/2025 00.57,Always Healthy Hospital Pekanbaru,Male,63,10,4,4,5,5,3,4,5,4,4,3,4,3,4,service good
13/03/2025 11.53,Always Healthy Hospital Palembang,Female,39,8,5,4,4,4,5,5,4,5,4,5,4,5,4,service good
28/03/2025 15.22,Always Healthy Hospital Surabaya,Male,40,8,4,4,4,3,3,5,4,4,5,4,4,3,3,service good
13/03/2025 13.08,Always Healthy Hospital Batam,Female,58,9,4,4,4,4,2,4,4,3,4,4,5,4,4,improve Doctor Consultation
28/03/2025 21.49,Always Healthy Hospital Palembang,Male,58,7,3,4,4,3,4,3,4,5,3,3,3,4,3,service good
08/03/2025 02.13,Always Healthy Hospital Palembang,Female,47,9,4,4,3,4,3,4,3,3,3,4,4,4,4,service good
07/03/2025 05.29,Always Healthy Hospital Denpasar,Male,24,8,4,4,4,3,4,4,4,5,4,4,4,4,3,service good
28/03/2025 22.38,Always Healthy Hospital Batam,Female,51,7,4,4,4,3,4,3,5,5,5,4,5,5,4,service good
05/03/2025 20.13,Always Healthy Hospital Tangerang,Male,62,8,4,3,3,4,3,5,4,4,4,3,3,5,3,service good
28/03/2025 17.16,Always Healthy Hospital Denpasar,Female,31,9,4,4,4,4,3,4,3,3,3,3,4,4,3,service good
06/03/2025 14.09,Always Healthy Hospital Malang,Male,29,9,4,4,4,4,3,4,2,3,4,4,4,4,3,improve Pharmacy Service
26/03/2025 04.10,Always Healthy Hospital Bogor,Female,23,10,5,5,5,4,5,4,5,5,4,5,5,5,5,service good
18/03/2025 23.42,Always Healthy Hospital Manado,Male,33,10,4,4,5,4,3,3,5,5,4,3,4,4,4,service good
07/03/2025 02.24,Always Healthy Hospital Banjarmasin,Female,51,7,5,4,4,4,4,5,4,3,5,3,4,4,4,service good
14/03/2025 12.03,Always Healthy Hospital Bandung,Male,36,10,4,4,4,4,4,3,5,4,5,4,4,4,3,service good
04/03/2025 02.40,Always Healthy Hospital Bekasi,Female,48,3,4,5,5,4,4,5,4,4,5,4,5,4,5,service good
02/03/2025 07.54,Always Healthy Hospital Makassar,Male,60,9,4,4,4,3,4,5,4,4,4,3,4,5,4,service good
10/03/2025 21.43,Always Healthy Hospital Makassar,Female,43,9,4,4,4,5,5,5,5,5,4,4,4,5,4,service good
18/03/2025 07.02,Always Healthy Hospital Malang,Male,42,6,4,4,4,5,4,4,2,4,4,4,4,4,4,improve Pharmacy Service
29/03/2025 06.29,Always Healthy Hospital Depok,Female,59,8,3,3,3,4,4,3,4,4,4,3,4,3,3,service good
01/03/2025 02.41,Always Healthy Hospital Banjarmasin,Male,61,8,4,4,4,4,5,4,4,5,5,4,5,5,4,service good
28/03/2025 20.22,Always Healthy Hospital Tangerang,Female,48,0,4,4,4,4,5,4,4,4,4,4,5,4,4,service good
18/03/2025 12.00,Always Healthy Hospital Batam,Male,34,2,4,5,4,4,4,4,4,5,4,4,4,5,4,service good
20/03/2025 06.00,Always Healthy Hospital Tangerang,Female,40,10,4,4,5,4,3,5,4,5,5,3,4,4,4,service good
27/03/2025 07.31,Always Healthy Hospital Padang,Male,35,9,5,3,4,4,4,4,4,4,4,3,4,4,3,service good
15/03/2025 09.35,Always Healthy Hospital Tangerang,Female,44,9,4,5,4,4,4,5,4,4,4,3,5,4,4,service good
07/03/2025 14.08,Always Healthy Hospital Semarang,Male,33,1,4,5,5,4,4,4,4,5,3,4,5,3,4,service good
15/03/2025 05.05,Always Healthy Hospital Bandung,Female,36,10,4,3,4,4,4,4,4,4,5,3,4,4,3,service good
01/03/2025 21.48,Always Healthy Hospital Semarang,Male,37,9,4,5,4,5,4,4,4,4,4,4,4,4,3,service good
29/03/2025 03.06,Always Healthy Hospital Balikpapan,Female,35,5,3,4,4,4,4,5,4,4,4,3,4,4,4,service good
27/03/2025 05.27,Always Healthy Hospital Pekanbaru,Male,53,8,4,3,4,4,5,4,4,3,4,3,4,4,3,service good
07/03/2025 20.07,Always Healthy Hospital Jakarta,Female,23,8,3,3,3,4,4,4,5,5,4,3,4,4,3,service good
08/03/2025 10.14,Always Healthy Hospital Bekasi,Male,38,9,4,4,4,4,4,4,4,4,4,3,4,5,3,service good
22/03/2025 06.29,Always Healthy Hospital Surabaya,Female,62,8,4,3,4,4,4,4,3,5,4,3,4,4,3,service good
02/03/2025 19.44,Always Healthy Hospital Balikpapan,Male,25,9,4,3,5,4,5,4,5,4,5,4,4,4,4,service good
08/03/2025 12.46,Always Healthy Hospital Balikpapan,Female,34,0,4,4,4,4,4,3,4,3,4,4,4,4,4,service good
03/03/2025 06.40,Always Healthy Hospital Denpasar,Male,55,8,4,4,4,4,4,3,3,5,4,4,4,4,3,service good
14/03/2025 14.36,Always Healthy Hospital Semarang,Female,31,4,3,4,4,4,4,4,3,3,4,3,4,3,2,improve Waiting Time
17/03/2025 08.22,Always Healthy Hospital Pekanbaru,Male,46,10,4,4,4,3,4,4,3,4,5,4,4,4,3,service good
31/03/2025 06.33,Always Healthy Hospital Semarang,Female,33,9,4,4,5,5,4,5,3,5,5,4,4,4,4,service good
17/03/2025 00.41,Always Healthy Hospital Denpasar,Male,21,9,5,5,4,5,4,4,4,5,4,5,5,5,5,service good
10/03/2025 22.09,Always Healthy Hospital Padang,Female,57,1,3,4,4,3,3,3,3,4,3,2,4,4,3,improve Billing Process
13/03/2025 07.30,Always Healthy Hospital Jakarta,Male,35,9,3,4,4,2,4,4,3,4,4,3,3,3,3,improve Registration
21/03/2025 18.23,Always Healthy Hospital Pekanbaru,Female,50,9,4,4,3,4,3,3,4,4,3,4,4,4,4,service good
22/03/2025 05.46,Always Healthy Hospital Malang,Male,44,0,4,4,4,4,5,4,3,4,4,4,4,4,4,service good
16/03/2025 07.13,Always Healthy Hospital Pekanbaru,Female,30,8,5,4,4,4,4,5,4,4,4,4,4,5,3,service good
11/03/2025 05.22,Always Healthy Hospital Denpasar,Male,24,10,3,3,3,4,4,2,2,4,3,3,3,3,2,"improve Nurse Service, Pharmacy Service, Waiting Time"
12/03/2025 04.56,Always Healthy Hospital Bandung,Female,26,1,4,3,4,4,4,4,4,4,5,4,4,4,4,service good
09/03/2025 06.47,Always Healthy Hospital Bekasi,Male,56,8,4,3,4,4,4,3,4,4,4,4,4,4,4,service good
03/03/2025 06.22,Always Healthy Hospital Denpasar,Female,22,9,4,5,4,5,4,4,4,4,4,4,4,5,4,service good
29/03/2025 05.31,Always Healthy Hospital Makassar,Male,55,9,4,5,4,3,4,4,3,4,4,4,4,3,4,service good
08/03/2025 22.22,Always Healthy Hospital Jakarta,Female,26,9,5,4,4,4,5,4,5,5,5,4,4,4,4,service good
03/03/2025 20.08,Always Healthy Hospital Makassar,Male,39,10,4,5,4,3,4,4,4,4,4,3,4,4,4,service good
27/03/2025 12.40,Always Healthy Hospital Malang,Female,47,2,3,4,3,3,4,4,4,3,5,4,3,3,3,service good
31/03/2025 21.03,Always Healthy Hospital Malang,Male,27,3,4,4,4,4,5,3,3,4,4,4,4,4,3,service good
06/03/2025 03.20,Always Healthy Hospital Bogor,Female,41,3,4,4,3,3,4,3,3,3,4,4,4,4,3,service good
13/03/2025 19.14,Always Healthy Hospital Batam,Male,59,1,4,4,4,4,4,4,4,5,4,3,4,3,3,service good
27/03/2025 01.26,Always Healthy Hospital Bandung,Female,45,9,4,3,4,5,4,4,5,5,3,4,5,4,4,service good
31/03/2025 12.44,Always Healthy Hospital Malang,Male,30,8,4,4,4,4,5,3,4,4,5,4,5,4,4,service good
09/03/2025 17.34,Always Healthy Hospital Makassar,Female,42,9,4,5,4,4,5,4,4,4,3,5,4,5,3,service good
19/03/2025 16.52,Always Healthy Hospital Makassar,Male,41,8,4,4,4,4,5,5,5,4,4,3,5,4,4,service good
25/03/2025 14.51,Always Healthy Hospital Padang,Female,55,10,4,5,4,5,4,4,4,4,5,4,5,3,4,service good
22/03/2025 21.53,Always Healthy Hospital Makassar,Male,36,9,4,4,4,4,5,4,5,4,4,3,4,4,3,service good
07/03/2025 07.27,Always Healthy Hospital Bekasi,Female,25,7,5,5,4,5,5,5,4,4,4,4,4,3,3,service good
26/03/2025 18.33,Always Healthy Hospital Surabaya,Male,26,0,4,4,4,4,5,4,4,3,4,4,4,4,4,service good
27/03/2025 20.03,Always Healthy Hospital Malang,Female,53,10,4,4,4,4,4,5,4,4,3,4,5,4,4,service good
23/03/2025 01.25,Always Healthy Hospital Pekanbaru,Male,60,9,4,4,4,4,4,4,4,3,4,4,5,4,4,service good
31/03/2025 13.09,Always Healthy Hospital Bandung,Female,52,9,4,5,5,4,4,5,4,4,4,4,4,4,5,service good
29/03/2025 12.47,Always Healthy Hospital Denpasar,Male,59,9,3,3,4,3,4,3,4,4,3,3,3,4,3,service good
09/03/2025 15.37,Always Healthy Hospital Batam,Female,60,10,4,4,4,4,3,4,4,4,4,4,4,4,3,service good
24/03/2025 23.32,Always Healthy Hospital Batam,Male,41,7,5,4,4,4,4,4,5,4,4,4,4,4,4,service good
19/03/2025 19.49,Always Healthy Hospital Medan,Female,32,10,3,4,3,2,3,2,4,3,3,3,4,4,3,"improve Registration, Nurse Service"
09/03/2025 19.47,Always Healthy Hospital Palembang,Male,36,10,4,4,4,4,4,5,4,5,4,4,4,4,4,service good
08/03/2025 06.21,Always Healthy Hospital Semarang,Female,22,10,4,4,4,4,4,5,5,5,4,4,4,4,4,service good
16/03/2025 13.24,Always Healthy Hospital Makassar,Male,28,10,4,4,4,4,4,5,4,5,5,3,4,5,3,service good
10/03/2025 08.06,Always Healthy Hospital Palembang,Female,58,3,3,3,4,3,3,4,4,3,3,3,2,4,2,"improve Facility Cleanliness, Waiting Time"
10/03/2025 19.45,Always Healthy Hospital Yogyakarta,Male,21,7,4,4,4,4,4,4,4,3,4,3,4,3,3,service good
15/03/2025 19.02,Always Healthy Hospital Balikpapan,Female,39,9,4,5,5,5,3,4,4,3,5,4,5,4,4,service good
01/03/2025 13.40,Always Healthy Hospital Depok,Male,54,10,4,4,4,3,3,4,4,4,5,3,4,4,3,service good
01/03/2025 12.01,Always Healthy Hospital Palembang,Female,50,9,4,4,4,4,3,4,4,4,4,5,4,4,4,service good
25/03/2025 15.15,Always Healthy Hospital Manado,Male,60,6,3,3,4,4,4,3,3,3,4,4,3,4,4,service good
10/03/2025 04.44,Always Healthy Hospital Manado,Female,25,8,4,4,5,4,4,4,3,4,3,4,4,5,4,service good
20/03/2025 06.50,Always Healthy Hospital Malang,Male,52,9,4,4,4,4,4,4,4,4,5,4,4,4,3,service good
30/03/2025 00.24,Always Healthy Hospital Pekanbaru,Female,61,7,5,5,5,4,5,4,4,4,4,3,4,5,5,service good
22/03/2025 23.01,Always Healthy Hospital Banjarmasin,Male,47,9,4,4,4,3,4,3,5,4,5,4,4,4,4,service good
08/03/2025 18.26,Always Healthy Hospital Bogor,Female,51,9,4,4,4,3,4,4,4,4,4,4,4,3,3,service good
04/03/2025 21.51,Always Healthy Hospital Manado,Male,57,10,4,3,3,3,3,4,3,3,3,3,3,3,4,service good
30/03/2025 08.23,Always Healthy Hospital Padang,Female,43,7,3,4,4,3,3,3,4,3,4,3,3,3,3,service good
08/03/2025 15.41,Always Healthy Hospital Makassar,Male,22,4,3,4,3,3,3,4,3,4,3,3,3,4,3,service good
16/03/2025 15.49,Always Healthy Hospital Makassar,Female,58,9,4,4,4,5,4,4,4,4,4,4,3,4,3,service good
16/03/2025 07.56,Always Healthy Hospital Pekanbaru,Male,34,10,4,4,4,4,4,4,4,3,4,3,4,3,4,service good
23/03/2025 11.45,Always Healthy Hospital Bekasi,Female,46,9,3,4,3,4,2,3,4,3,3,3,4,4,3,improve Doctor Consultation
09/03/2025 17.34,Always Healthy Hospital Makassar,Male,62,10,4,5,4,4,5,5,4,5,4,3,4,4,5,service good
13/03/2025 14.00,Always Healthy Hospital Bandung,Female,48,10,3,3,3,4,4,4,2,4,4,3,4,3,3,improve Pharmacy Service
05/03/2025 17.07,Always Healthy Hospital Batam,Male,53,10,4,4,3,4,4,4,3,4,3,3,4,3,4,service good
27/03/2025 03.10,Always Healthy Hospital Yogyakarta,Female,34,7,4,3,4,4,4,3,3,4,3,3,4,4,4,service good
08/03/2025 14.57,Always Healthy Hospital Bandung,Male,23,9,4,4,4,4,4,5,4,4,4,4,4,4,4,service good
05/03/2025 13.56,Always Healthy Hospital Surabaya,Female,62,9,4,5,4,5,4,5,5,4,5,3,5,5,4,service good
25/03/2025 19.46,Always Healthy Hospital Semarang,Male,25,10,4,5,4,3,4,4,4,4,4,4,4,5,4,service good
27/03/2025 09.09,Always Healthy Hospital Medan,Female,44,8,4,4,4,4,5,5,4,5,5,4,4,4,4,service good
15/03/2025 11.08,Always Healthy Hospital Pekanbaru,Male,55,10,4,3,4,4,5,4,4,4,4,4,3,4,4,service good
26/03/2025 18.28,Always Healthy Hospital Jakarta,Female,27,7,5,5,4,5,4,3,5,4,4,4,4,5,4,service good
19/03/2025 21.45,Always Healthy Hospital Banjarmasin,Male,37,7,4,4,4,4,5,4,4,3,4,4,3,4,4,service good
03/03/2025 01.36,Always Healthy Hospital Balikpapan,Female,40,7,4,5,4,3,4,4,4,5,4,4,5,4,4,service good
22/03/2025 11.15,Always Healthy Hospital Padang,Male,32,8,3,4,3,4,4,3,3,4,4,3,3,4,3,service good
26/03/2025 06.45,Always Healthy Hospital Depok,Female,51,10,5,4,4,4,4,5,4,4,4,4,5,4,5,service good
20/03/2025 09.12,Always Healthy Hospital Banjarmasin,Male,45,10,5,5,5,4,5,5,5,5,5,5,5,5,4,service good
11/03/2025 13.39,Always Healthy Hospital Balikpapan,Female,28,7,3,3,3,4,4,4,4,4,4,3,3,4,3,service good
22/03/2025 04.06,Always Healthy Hospital Balikpapan,Male,63,9,3,4,3,4,4,4,3,4,3,3,4,4,3,service good
01/03/2025 19.55,Always Healthy Hospital Makassar,Female,32,9,4,4,4,4,5,3,4,4,5,4,4,4,3,service good
08/03/2025 22.01,Always Healthy Hospital Balikpapan,Male,65,10,4,4,4,4,4,3,5,5,4,4,5,5,3,service good
14/03/2025 15.51,Always Healthy Hospital Batam,Female,37,7,4,4,4,4,5,4,4,4,4,4,5,4,3,service good
05/03/2025 08.54,Always Healthy Hospital Bogor,Male,53,7,5,4,4,4,4,4,4,5,4,4,4,4,4,service good
29/03/2025 13.13,Always Healthy Hospital Bogor,Female,60,10,4,3,5,4,5,4,5,4,4,4,4,4,4,service good
28/03/2025 22.21,Always Healthy Hospital Batam,Male,59,2,4,4,4,5,4,3,5,5,4,3,4,4,4,service good
06/03/2025 09.12,Always Healthy Hospital Depok,Female,27,7,4,3,3,4,3,4,4,4,4,4,3,3,4,service good
21/03/2025 11.57,Always Healthy Hospital Tangerang,Male,22,10,4,4,3,3,4,3,4,3,4,4,4,4,3,service good
01/03/2025 02.28,Always Healthy Hospital Pekanbaru,Female,22,7,4,4,3,3,4,4,4,4,3,3,4,3,3,service good
08/03/2025 19.55,Always Healthy Hospital Bandung,Male,21,9,4,4,5,4,4,4,4,3,4,3,4,3,4,service good
10/03/2025 03.40,Always Healthy Hospital Tangerang,Female,42,10,4,4,4,4,4,4,5,4,3,3,3,4,4,service good
16/03/2025 20.33,Always Healthy Hospital Medan,Male,21,9,3,4,3,4,4,4,3,4,3,3,4,4,3,service good
27/03/2025 16.36,Always Healthy Hospital Semarang,Female,38,9,4,4,4,4,5,5,4,5,4,4,4,4,4,service good
21/03/2025 06.55,Always Healthy Hospital Jakarta,Male,43,7,4,4,4,4,4,5,4,4,4,3,4,3,4,service good
30/03/2025 16.24,Always Healthy Hospital Batam,Female,31,4,3,4,4,4,3,3,3,4,4,3,4,3,4,service good
08/03/2025 23.05,Always Healthy Hospital Bandung,Male,24,10,5,4,4,4,4,5,3,4,5,4,5,4,4,service good
12/03/2025 00.38,Always Healthy Hospital Malang,Female,48,6,3,2,3,3,2,4,4,4,3,3,4,4,2,"improve Doctor Consultation, Waiting Time"
25/03/2025 08.24,Always Healthy Hospital Semarang,Male,56,1,4,4,3,4,5,4,3,4,3,4,4,4,4,service good
11/03/2025 09.53,Always Healthy Hospital Batam,Female,45,7,4,4,4,3,4,4,5,4,4,4,4,5,4,service good
25/03/2025 13.08,Always Healthy Hospital Bogor,Male,47,0,4,4,4,3,3,4,4,3,3,4,4,3,3,service good
09/03/2025 14.15,Always Healthy Hospital Banjarmasin,Female,61,10,3,3,3,3,3,4,3,3,3,3,3,3,2,improve Waiting Time
27/03/2025 19.18,Always Healthy Hospital Padang,Male,50,10,4,4,5,4,4,5,5,5,5,4,4,3,5,service good
10/03/2025 05.13,Always Healthy Hospital Balikpapan,Female,27,9,4,4,4,3,4,3,3,4,3,4,3,4,3,service good
10/03/2025 18.19,Always Healthy Hospital Makassar,Male,63,9,4,4,4,4,4,4,4,4,4,4,4,4,4,service good
17/03/2025 22.59,Always Healthy Hospital Denpasar,Female,59,9,4,4,4,4,4,5,5,4,5,4,3,5,4,service good
26/03/2025 15.34,Always Healthy Hospital Semarang,Male,50,7,4,5,3,3,4,4,4,3,4,3,3,3,3,service good
01/03/2025 23.03,Always Healthy Hospital Bogor,Female,41,6,3,4,4,4,4,4,3,4,3,3,3,3,3,service good
03/03/2025 02.37,Always Healthy Hospital Padang,Male,51,9,4,4,4,4,4,5,3,4,4,4,4,4,4,service good
29/03/2025 06.04,Always Healthy Hospital Pekanbaru,Female,61,6,3,3,3,3,4,4,4,4,4,4,3,3,3,service good
26/03/2025 08.55,Always Healthy Hospital Semarang,Male,21,4,3,4,4,4,3,4,3,4,3,3,4,4,3,service good
04/03/2025 15.27,Always Healthy Hospital Medan,Female,62,7,5,3,4,4,4,4,3,3,3,4,4,3,4,service good
20/03/2025 21.23,Always Healthy Hospital Batam,Male,29,10,4,4,4,5,4,3,4,4,5,4,4,4,4,service good
06/03/2025 08.56,Always Healthy Hospital Medan,Female,50,5,4,4,4,3,3,3,4,4,4,3,3,4,3,service good
27/03/2025 06.19,Always Healthy Hospital Manado,Male,58,9,4,4,4,4,5,4,4,4,4,4,4,4,5,service good
01/03/2025 19.22,Always Healthy Hospital Balikpapan,Female,43,7,4,4,4,4,3,4,4,3,5,4,4,4,3,service good
20/03/2025 09.09,Always Healthy Hospital Makassar,Male,65,10,4,3,3,3,3,4,3,4,3,3,3,3,3,service good
28/03/2025 21.37,Always Healthy Hospital Tangerang,Female,45,8,4,5,4,4,4,4,4,5,4,3,5,4,4,service good
15/03/2025 22.54,Always Healthy Hospital Medan,Male,29,9,3,4,4,4,3,3,4,3,3,4,5,4,4,service good
17/03/2025 16.07,Always Healthy Hospital Batam,Female,53,7,3,4,3,4,3,3,3,4,4,3,3,4,2,improve Waiting Time
31/03/2025 11.59,Always Healthy Hospital Banjarmasin,Male,35,8,4,4,4,5,4,5,4,3,5,4,5,3,4,service good
29/03/2025 02.58,Always Healthy Hospital Jakarta,Female,49,7,5,4,4,4,4,5,4,5,3,3,3,4,3,service good
07/03/2025 22.16,Always Healthy Hospital Batam,Male,22,10,4,3,4,4,4,4,3,4,4,3,4,3,4,service good
04/03/2025 01.19,Always Healthy Hospital Batam,Female,47,10,4,4,4,4,5,4,5,4,4,4,5,4,4,service good
02/03/2025 01.09,Always Healthy Hospital Malang,Male,57,8,4,4,4,4,4,4,4,4,5,5,4,4,4,service good
15/03/2025 21.40,Always Healthy Hospital Tangerang,Female,21,8,4,4,4,3,3,3,3,3,4,3,3,3,3,service good
20/03/2025 16.35,Always Healthy Hospital Bogor,Male,37,8,4,4,4,4,3,5,4,4,4,3,4,5,4,service good
30/03/2025 12.40,Always Healthy Hospital Palembang,Female,25,1,4,4,4,4,4,4,4,4,5,4,4,5,4,service good
12/03/2025 18.34,Always Healthy Hospital Depok,Male,40,10,4,4,4,4,4,3,5,3,4,3,3,3,4,service good
11/03/2025 00.18,Always Healthy Hospital Balikpapan,Female,50,10,4,5,4,5,3,4,5,4,4,3,4,3,4,service good
19/03/2025 11.41,Always Healthy Hospital Padang,Male,58,9,5,5,5,5,5,4,5,5,5,4,5,5,4,service good
15/03/2025 01.53,Always Healthy Hospital Balikpapan,Female,58,8,4,4,4,4,4,4,4,4,4,4,4,5,4,service good
25/03/2025 23.45,Always Healthy Hospital Banjarmasin,Male,21,7,4,3,4,4,4,4,4,4,3,4,4,4,4,service good
06/03/2025 17.47,Always Healthy Hospital Padang,Female,21,9,4,4,4,4,4,3,4,4,4,4,5,3,3,service good
02/03/2025 21.32,Always Healthy Hospital Bandung,Male,31,10,4,4,5,3,4,4,5,4,5,4,5,4,4,service good
01/03/2025 21.03,Always Healthy Hospital Padang,Female,46,9,4,5,4,4,4,3,3,4,5,4,4,4,4,service good
18/03/2025 09.45,Always Healthy Hospital Tangerang,Male,32,10,4,4,4,4,4,4,4,4,4,4,4,5,4,service good
28/03/2025 00.06,Always Healthy Hospital Depok,Female,27,7,5,4,4,4,5,5,5,5,5,4,5,5,4,service good
17/03/2025 00.20,Always Healthy Hospital Tangerang,Male,57,7,4,4,4,3,3,4,3,5,4,4,4,4,3,service good
27/03/2025 18.02,Always Healthy Hospital Bogor,Female,40,4,3,3,3,4,4,4,3,3,3,3,5,3,3,service good
13/03/2025 17.08,Always Healthy Hospital Denpasar,Male,60,8,4,3,4,3,3,4,4,4,4,4,4,4,4,service good
01/03/2025 16.58,Always Healthy Hospital Medan,Female,56,9,4,5,4,5,4,4,4,5,4,4,4,4,4,service good
03/03/2025 07.02,Always Healthy Hospital Makassar,Male,49,7,4,3,4,4,4,4,5,4,4,4,4,4,4,service good
19/03/2025 22.49,Always Healthy Hospital Jakarta,Female,34,10,4,5,4,5,5,4,5,4,4,3,4,3,4,service good
10/03/2025 20.52,Always Healthy Hospital Padang,Male,27,8,3,4,4,4,4,3,4,3,3,3,3,4,3,service good
28/03/2025 02.04,Always Healthy Hospital Jakarta,Female,43,9,4,3,4,5,5,3,4,5,4,3,5,3,3,service good
27/03/2025 06.43,Always Healthy Hospital Palembang,Male,57,10,4,5,4,5,4,4,3,4,3,4,4,4,4,service good
25/03/2025 09.38,Always Healthy Hospital Balikpapan,Female,48,9,4,4,4,4,4,5,3,4,5,4,4,4,4,service good
23/03/2025 22.02,Always Healthy Hospital Bogor,Male,22,4,3,4,4,3,4,4,2,4,4,4,4,4,3,improve Pharmacy Service
02/03/2025 16.41,Always Healthy Hospital Semarang,Female,47,6,4,3,4,4,3,4,4,4,4,5,3,4,4,service good
21/03/2025 18.20,Always Healthy Hospital Jakarta,Male,28,7,4,3,4,3,4,4,4,5,5,4,4,4,3,service good
14/03/2025 04.11,Always Healthy Hospital Manado,Female,65,9,4,5,4,4,4,4,5,4,4,4,5,4,4,service good
07/03/2025 09.14,Always Healthy Hospital Balikpapan,Male,40,2,4,4,4,4,5,3,5,5,4,4,4,5,5,service good
24/03/2025 11.50,Always Healthy Hospital Batam,Female,59,3,3,4,4,3,4,4,3,2,4,3,3,4,3,improve Laboratory
28/03/2025 02.50,Always Healthy Hospital Palembang,Male,63,10,4,3,5,4,4,5,5,5,4,4,4,4,4,service good
19/03/2025 08.12,Always Healthy Hospital Padang,Female,44,9,4,4,4,4,4,4,4,4,4,3,5,4,4,service good
